flops,loss,accuracy,model_config
24020743296,0.11000831437110901,0.975,8x64
24187597952,0.17141812562942504,0.942,8x64
24361432064,0.11028705501556396,0.976,8x64
24528286720,0.1066061168909073,0.972,8x64
24695141376,0.07958484745025635,0.988,8x64
24861996032,0.1389372730255127,0.96,8x64
25028850688,0.09324155926704407,0.977,8x64
25195705344,0.07215212321281433,0.989,8x64
25369539456,0.08848610460758209,0.978,8x64
25536394112,0.11576522028446197,0.966,8x64
25703248768,0.07688790482282638,0.98,8x64
25870103424,0.08805144774913788,0.978,8x64
26036958080,0.06336171174049378,0.986,8x64
26203812736,0.0909477499127388,0.974,8x64
26377646848,0.07470349770784378,0.982,8x64
26544501504,0.09904759275913239,0.973,8x64
26711356160,0.07801494997739791,0.976,8x64
26878210816,0.056395340621471404,0.987,8x64
27045065472,0.06855054807662964,0.987,8x64
27211920128,0.061115311801433564,0.982,8x64
27385754240,0.06386660897731782,0.983,8x64
27552608896,0.06119579404592514,0.986,8x64
27719463552,0.07628950083255767,0.973,8x64
27886318208,0.04442532378435135,0.992,8x64
28053172864,0.049864761173725125,0.991,8x64
28220027520,0.06994146066904068,0.979,8x64
28393861632,0.09456066834926605,0.969,8x64
28560716288,0.04395343178510666,0.995,8x64
28727570944,0.0657752849906683,0.981,8x64
28894425600,0.036452856808900834,0.995,8x64
29061280256,0.048859044909477234,0.993,8x64
29228134912,0.07036531609296799,0.983,8x64
29401969024,0.04317612612247467,0.992,8x64
29568823680,0.04435046312212944,0.988,8x64
29735678336,0.08722315555810928,0.971,8x64
29902532992,0.05455374562740326,0.984,8x64
30069387648,0.05795902480185032,0.979,8x64
30236242304,0.03251725897192955,0.998,8x64
30410076416,0.04192444506287575,0.993,8x64
30576931072,0.03387904065847397,0.994,8x64
30743785728,0.043739802807569506,0.991,8x64
30910640384,0.09921595621109008,0.972,8x64
31077495040,0.039098531365394595,0.991,8x64
31244349696,0.050808818846940995,0.984,8x64
31418183808,0.11852568146586419,0.966,8x64
31585038464,0.052043893456459045,0.991,8x64
31751893120,0.047015759944915775,0.989,8x64
31918747776,0.04789925104379654,0.993,8x64
32085602432,0.0372794035077095,0.991,8x64
32252457088,0.03954742607474327,0.99,8x64
32426291200,0.04045208641886711,0.99,8x64
32593145856,0.03033677166700363,0.997,8x64
32760000512,0.031181183099746705,0.995,8x64
32926855168,0.036476374506950376,0.993,8x64
33093709824,0.05506083613634109,0.984,8x64
33260564480,0.05432641318440437,0.982,8x64
33434398592,0.02660036489367485,0.998,8x64
33601253248,0.034886131823062896,0.993,8x64
33768107904,0.056060646891593936,0.984,8x64
33934962560,0.04737930256128311,0.988,8x64
34101817216,0.029602391242980957,0.996,8x64
34268671872,0.03994696490466595,0.987,8x64
34442505984,0.026506478384137153,0.994,8x64
34609360640,0.05788471972942352,0.981,8x64
34776215296,0.05277703991532326,0.985,8x64
34943069952,0.02194848394393921,0.995,8x64
35109924608,0.04987553584575653,0.989,8x64
35276779264,0.04818711119890213,0.988,8x64
35450613376,0.05805526077747345,0.989,8x64
35617468032,0.050669057682156564,0.984,8x64
35784322688,0.04595215292274952,0.988,8x64
35951177344,0.048037804260849956,0.988,8x64
36118032000,0.04632696658372879,0.988,8x64
36284886656,0.04904323099553585,0.984,8x64
36458720768,0.07799918493628502,0.977,8x64
36625575424,0.02874508748948574,0.993,8x64
36792430080,0.04645994846522808,0.99,8x64
36959284736,0.04769142800569534,0.989,8x64
37126139392,0.06612170282006263,0.982,8x64
37292994048,0.05598984645307064,0.986,8x64
37466828160,0.022523748576641082,0.999,8x64
37633682816,0.041319300532341,0.986,8x64
37800537472,0.0658764915317297,0.983,8x64
37967392128,0.04625823333859444,0.992,8x64
38134246784,0.06960082539916039,0.979,8x64
38301101440,0.04593659338355065,0.991,8x64
